,City,Legal Status,Legal Status Code,Population,Violent Crime per Capita,Rape per Capita,Robbery per Capita,Aggravated Assault per Capita,Property Crime Total per Capita,Burglary per Capita,Larceny-Theft per Capita,Motor Vehicle Theft per Capita
2111,Waterloo,Illegal,1.0,67200.0,0.0062351190476190475,0.0003720238095238095,0.0007142857142857143,0.005014880952380952,0.02556547619047619,0.007306547619047619,0.015446428571428571,0.0028125
2112,Waukee,Illegal,1.0,25590.0,0.0008987885892926924,0.00031262211801484955,3.9077764751856194e-05,0.0005470887065259867,0.009261430246189918,0.0025400547088706526,0.00605705353653771,0.0006643220007815553
2113,Waukon,Illegal,1.0,3594.0,0.0008347245409015025,0.0,0.0002782415136338342,0.0005564830272676684,0.01725097384529772,0.0011129660545353367,0.015581524763494713,0.0005564830272676684
2114,Waverly,Illegal,1.0,10234.0,0.004592534688293922,0.000586281024037522,0.0,0.0040062536642564,0.009380496384600352,0.001465702560093805,0.007328512800469025,0.000586281024037522
2115,West Branch,Illegal,1.0,2510.0,0.0,0.0,0.0,0.0,0.00398406374501992,0.001195219123505976,0.00199203187250996,0.0007968127490039841
2116,West Burlington,Illegal,1.0,2878.0,0.004169562195969423,0.0006949270326615705,0.00034746351633078526,0.0031271716469770676,0.05559416261292564,0.0034746351633078527,0.04794996525364837,0.004169562195969423
2117,West Des Moines,Illegal,1.0,69252.0,0.0013429215040720846,0.0003898804366660891,0.00010108011320972679,0.0008375209380234506,0.01646161843701265,0.0018627620862935366,0.012894934442326575,0.0017039219083925374
2118,West Liberty,Illegal,1.0,3768.0,0.002653927813163482,0.0005307855626326964,0.0002653927813163482,0.0018577494692144374,0.006104033970276009,0.0015923566878980893,0.0034501061571125266,0.0010615711252653928
2119,Williamsburg,Illegal,1.0,3175.0,0.0012598425196850393,0.00031496062992125983,0.0,0.0009448818897637795,0.0031496062992125984,0.0006299212598425197,0.002204724409448819,0.00031496062992125983
2120,Wilton,Illegal,1.0,2828.0,0.001768033946251768,0.0007072135785007072,0.0003536067892503536,0.0007072135785007072,0.0038896746817538895,0.0021216407355021216,0.0010608203677510608,0.0007072135785007072
2121,Windsor Heights,Illegal,1.0,4798.0,0.003959983326385994,0.0,0.0006252605252188412,0.003334722801167153,0.038557732388495206,0.003126302626094206,0.033555648186744474,0.0018757815756565235
2122,Winterset,Illegal,1.0,5403.0,0.004627059041273367,0.000555247084952804,0.0,0.0040718119563205625,0.010549694614103275,0.00277623542476402,0.006662965019433648,0.001110494169905608
2123,Alta Vista,,,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2124,Andover,Illegal,1.0,13592.0,0.0014714537963507945,0.0002942907592701589,0.00014714537963507945,0.0010300176574455562,0.017142436727486755,0.0014714537963507945,0.014788110653325486,0.0008828722778104767
2125,Anthony,Illegal,1.0,2051.0,0.0034129692832764505,0.0,0.0,0.0034129692832764505,0.017064846416382253,0.004388103364212579,0.01121404193076548,0.0014627011214041932
2126,Arkansas City,Illegal,1.0,11589.0,0.004400724825265338,0.0002588661661920787,8.628872206402623e-05,0.0039692812149452064,0.03244455949607386,0.005436189490033653,0.0243334196220554,0.0026749503839848133
2127,Arma,Illegal,1.0,1413.0,0.004246284501061571,0.0007077140835102619,0.0,0.003538570417551309,0.03113941967445152,0.01627742392073602,0.012031139419674451,0.0028308563340410475
2128,Assaria,Illegal,1.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2129,Atchison,Illegal,1.0,10421.0,0.004510123788503982,0.0007676806448517416,9.59600806064677e-05,0.003646483063045773,0.02216677862009404,0.0010555608866711448,0.01928797620190001,0.0018232415315228864
2130,Atwood,Illegal,1.0,1221.0,0.001638001638001638,0.0,0.0,0.001638001638001638,0.004914004914004914,0.000819000819000819,0.002457002457002457,0.001638001638001638
2131,Augusta,Illegal,1.0,9339.0,0.001820323375093693,0.00032123353678124,0.0,0.0014990898383124532,0.026769461398436663,0.00513973658849984,0.020344790662811866,0.00128493414712496
2132,Basehor,Illegal,1.0,6742.0,0.0007416196974191634,0.0001483239394838327,0.0,0.0005932957579353308,0.01053099970335212,0.0013349154553544942,0.008009492732126965,0.0011865915158706616
2133,Baxter Springs,Illegal,1.0,3915.0,0.004342273307790549,0.0015325670498084292,0.0,0.00280970625798212,0.03473818646232439,0.010217113665389528,0.02247765006385696,0.0020434227330779057
2134,Beloit,Illegal,1.0,3604.0,0.004439511653718091,0.000832408435072142,0.0,0.003607103218645949,0.010543840177580466,0.000832408435072142,0.008324084350721421,0.0013873473917869034
2135,Bucklin,Illegal,1.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,Burlington,Illegal,1.0,2530.0,0.005138339920948616,0.0007905138339920949,0.0,0.004347826086956522,0.01225296442687747,0.003952569169960474,0.007509881422924901,0.0007905138339920949
2137,Caney2,Illegal,1.0,1943.0,0.006176016469377252,0.0,0.0,0.006176016469377252,,,0.002058672156459084,0.0
2138,Cherryvale,Illegal,1.0,2114.0,0.0014191106906338694,0.0,0.0,0.0014191106906338694,0.017029328287606435,0.005203405865657522,0.00946073793755913,0.0023651844843897824
2139,Clay Center,Illegal,1.0,3944.0,0.004310344827586207,0.0015212981744421906,0.0,0.002789046653144016,0.02915821501014199,0.008874239350912779,0.015212981744421906,0.005070993914807302
2140,Clearwater,Illegal,1.0,2559.0,0.0015631105900742479,0.00039077764751856197,0.0,0.0011723329425556857,0.012504884720593983,0.0031262211801484957,0.008987885892926924,0.00039077764751856197
2141,Coffeyville2,Illegal,1.0,9171.0,0.005888125613346418,0.0008723149056809508,0.0008723149056809508,0.004143495801984517,,,0.03140333660451423,0.0025079053538327335
2142,Colby,Illegal,1.0,5365.0,0.003168685927306617,0.0005591798695246971,0.0,0.00260950605778192,0.017148182665424044,0.003727865796831314,0.012301957129543337,0.0011183597390493941
2143,Colony,Illegal,1.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2144,Concordia,Illegal,1.0,4944.0,0.0026294498381877023,0.0004045307443365696,0.0,0.0022249190938511327,0.019417475728155338,0.0036407766990291263,0.01436084142394822,0.0014158576051779936
2145,Council Grove,Illegal,1.0,2112.0,0.000946969696969697,0.0,0.0,0.000946969696969697,0.017518939393939392,0.0033143939393939395,0.01278409090909091,0.0014204545454545455
2146,Derby,Illegal,1.0,25229.0,0.0011494708470411036,0.0003963692576003805,0.00011891077728011416,0.0006341908121606088,0.018708628958737962,0.001585477030401522,0.015735859526735105,0.0013872924016013319
2147,Dodge City,Illegal,1.0,27066.0,0.004581393630384985,0.00036946722825685364,0.000406413951082539,0.0038055124510455924,0.02516071824429173,0.0022168033695411215,0.021392152516071825,0.0015517623586787852
2148,Edwardsville,Illegal,1.0,4503.0,0.005996002664890073,0.00022207417277370642,0.00044414834554741284,0.005107705973795247,0.02975793915167666,0.0033311125916055963,0.020652898067954697,0.005773928492116367
2149,El Dorado2,Illegal,1.0,12924.0,0.0020891364902506965,0.00023212627669452182,0.00015475085112968121,0.0017022593624264934,,,0.012999071494893221,0.0028628907458991023
2150,Elkhart,Illegal,1.0,1714.0,0.003500583430571762,0.0,0.0,0.003500583430571762,0.01750291715285881,0.005834305717619603,0.011085180863477246,0.0005834305717619603
2151,Ellinwood,Illegal,1.0,1923.0,0.0,0.0,0.0,0.0,0.011440457618304731,0.0010400416016640667,0.009880395215808632,0.0005200208008320333
2152,Ellis,Illegal,1.0,2004.0,0.000998003992015968,0.000499001996007984,0.0,0.000499001996007984,0.010479041916167664,0.0,0.00998003992015968,0.000499001996007984
2153,Ellsworth,Illegal,1.0,2943.0,0.0010193679918450561,0.0003397893306150187,0.0,0.0006795786612300374,0.011892626571525655,0.0013591573224600749,0.009853890587835541,0.0006795786612300374
2154,Eudora,Illegal,1.0,6440.0,0.002639751552795031,0.0004658385093167702,0.0,0.002173913043478261,0.004813664596273292,0.0009316770186335404,0.003105590062111801,0.0007763975155279503
2155,Fairway,Illegal,1.0,3970.0,0.0007556675062972292,0.0005037783375314861,0.00025188916876574307,0.0,0.014357682619647354,0.0020151133501259445,0.00906801007556675,0.00327455919395466
2156,Fort Scott,Illegal,1.0,7658.0,0.006267955079655263,0.0007834943849569079,0.0003917471924784539,0.005092713502219901,0.03538782972055367,0.006398537477148081,0.026769391486027683,0.0022199007573779055
2157,Frontenac,Illegal,1.0,3382.0,0.0005913660555884093,0.0,0.0,0.0005913660555884093,0.020993494973388527,0.0035481963335304554,0.013601419278533412,0.00384387936132466
2158,Galena,Illegal,1.0,2832.0,0.003884180790960452,0.0,0.0,0.003884180790960452,0.025423728813559324,0.00423728813559322,0.019067796610169493,0.00211864406779661
2159,Garden City,Illegal,1.0,26360.0,0.005273141122913505,0.0009104704097116844,0.0005690440060698028,0.003717754172989378,0.03429438543247344,0.003528072837632777,0.028110773899848254,0.002655538694992413
2160,Gardner,Illegal,1.0,22370.0,0.002682163611980331,0.0003576218149307108,0.00026821636119803307,0.002056325435851587,0.009119356280733125,0.000849351810460438,0.007688869021010281,0.000581135449262405
2161,Garnett,Illegal,1.0,3216.0,0.003109452736318408,0.0006218905472636816,0.0,0.0021766169154228856,0.017101990049751242,0.005286069651741294,0.010261194029850746,0.001554726368159204
2162,Goddard,Illegal,1.0,4840.0,0.00020661157024793388,0.0,0.00020661157024793388,0.0,0.011363636363636364,0.0010330578512396695,0.009917355371900827,0.00041322314049586776
2163,Goodland,Illegal,1.0,4397.0,0.005230839208551285,0.0,0.00022742779167614282,0.005003411416875142,0.017966795542415284,0.002501705708437571,0.013190811917216284,0.0022742779167614284
2164,Grandview Plaza,Illegal,1.0,1503.0,0.01330671989354624,0.001996007984031936,0.0,0.011310711909514305,0.017964071856287425,0.00332667997338656,0.01330671989354624,0.0013306719893546241
2165,Great Bend2,Illegal,1.0,14864.0,0.005314854682454252,0.0008745963401506997,0.00020182992465016147,0.004238428417653391,,,0.018231969860064586,0.0017491926803013993
2166,Greensburg,Illegal,1.0,776.0,0.003865979381443299,0.001288659793814433,0.001288659793814433,0.001288659793814433,0.002577319587628866,0.002577319587628866,0.0,0.0
2167,Halstead,Illegal,1.0,2036.0,0.0,0.0,0.0,0.0,0.016208251473477406,0.0029469548133595285,0.01031434184675835,0.0029469548133595285
2168,Havensville,Illegal,1.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,Hays2,Illegal,1.0,20769.0,0.003129664403678559,0.0002888920988010978,9.62973662670326e-05,0.002744474938610429,,,0.0150705378207906,0.0009629736626703259
2170,Haysville,Illegal,1.0,11395.0,0.003334795963141729,0.00035103115401491884,8.775778850372971e-05,0.0028960070206230804,0.01816586222027205,0.00307152259763054,0.013339183852566916,0.0017551557700745941
2171,Hesston,Illegal,1.0,3744.0,0.0002670940170940171,0.0,0.0,0.0002670940170940171,0.006944444444444444,0.0018696581196581197,0.004540598290598291,0.0005341880341880342
2172,Hiawatha,Illegal,1.0,3103.0,0.003222687721559781,0.0012890750886239124,0.0,0.0019336126329358686,0.03544956493715759,0.006123106670963584,0.02707057686110216,0.0022558814050918467
2173,Hillsboro,Illegal,1.0,2796.0,0.00178826895565093,0.000715307582260372,0.0,0.001072961373390558,0.016094420600858368,0.0075107296137339056,0.00715307582260372,0.001430615164520744
2174,Hoisington,Illegal,1.0,2446.0,0.004088307440719542,0.0004088307440719542,0.0,0.003679476696647588,0.008994276369582993,0.0024529844644317253,0.004497138184791497,0.002044153720359771
